1,1,0.0055248618784530384,Atlas32016@2,(Offer  bid:Bid[Pie: a999, ])
1,2,0.0055248618784530384,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
2,1,0.011049723756906077,Atlas32016@2,(Offer  bid:Bid[Pie: a990, ])
2,2,0.011049723756906077,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
3,1,0.016574585635359115,Atlas32016@2,(Offer  bid:Bid[Pie: a994, ])
3,2,0.016574585635359115,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
4,1,0.022099447513812154,Atlas32016@2,(Offer  bid:Bid[Pie: a992, ])
4,2,0.022099447513812154,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
5,1,0.027624309392265192,Atlas32016@2,(Offer  bid:Bid[Pie: a999, ])
5,2,0.027624309392265192,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
6,1,0.03314917127071823,Atlas32016@2,(Offer  bid:Bid[Pie: a998, ])
6,2,0.03314917127071823,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
7,1,0.03867403314917127,Atlas32016@2,(Offer  bid:Bid[Pie: a969, ])
7,2,0.03867403314917127,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
8,1,0.04419889502762431,Atlas32016@2,(Offer  bid:Bid[Pie: a956, ])
8,2,0.04419889502762431,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
9,1,0.049723756906077346,Atlas32016@2,(Offer  bid:Bid[Pie: a973, ])
9,2,0.049723756906077346,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a1, ])
10,1,0.055248618784530384,Atlas32016@2,(Offer  bid:Bid[Pie: a961, ])
10,2,0.055248618784530384,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
11,1,0.06077348066298342,Atlas32016@2,(Offer  bid:Bid[Pie: a946, ])
11,2,0.06077348066298342,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
12,1,0.06629834254143646,Atlas32016@2,(Offer  bid:Bid[Pie: a970, ])
12,2,0.06629834254143646,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a1, ])
13,1,0.0718232044198895,Atlas32016@2,(Offer  bid:Bid[Pie: a941, ])
13,2,0.0718232044198895,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
14,1,0.07734806629834254,Atlas32016@2,(Offer  bid:Bid[Pie: a995, ])
14,2,0.07734806629834254,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
15,1,0.08287292817679558,Atlas32016@2,(Offer  bid:Bid[Pie: a967, ])
15,2,0.08287292817679558,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a3, ])
16,1,0.08839779005524862,Atlas32016@2,(Offer  bid:Bid[Pie: a949, ])
16,2,0.08839779005524862,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a2, ])
17,1,0.09392265193370165,Atlas32016@2,(Offer  bid:Bid[Pie: a995, ])
17,2,0.09392265193370165,AgentBuyogMain@3,(Offer  bid:Bid[Pie: a0, ])
18,1,0.09944751381215469,Atlas32016@2,(Offer  bid:Bid[Pie: a913, ])
